value,label
"mmm
","mmm
 3M Company industrials industrial conglomerates SP500"
"abt
","abt
 Abbott Laboratories health care health care equipment SP500"
"abbv
","abbv
 AbbVie Inc. health care pharmaceuticals SP500"
"abmd
","abmd
 ABIOMED Inc health care health care equipment SP500"
"acn
","acn
 Accenture plc information technology it consulting & other services SP500"
"atvi
","atvi
 Activision Blizzard communication services interactive home entertainment SP500"
"adbe
","adbe
 Adobe Inc. information technology application software SP500"
"amd
","amd
 Advanced Micro Devices Inc information technology semiconductors SP500"
"aap
","aap
 Advance Auto Parts consumer discretionary automotive retail SP500"
"aes
","aes
 AES Corp utilities independent power producers & energy traders SP500"
"afl
","afl
 AFLAC Inc financials life & health insurance SP500"
"a
","a
 Agilent Technologies Inc health care health care equipment SP500"
"apd
","apd
 Air Products & Chemicals Inc materials industrial gases SP500"
"akam
","akam
 Akamai Technologies Inc information technology internet services & infrastructure SP500"
"alk
","alk
 Alaska Air Group Inc industrials airlines SP500"
"alb
","alb
 Albemarle Corp materials specialty chemicals SP500"
"are
","are
 Alexandria Real Estate Equities real estate office reits SP500"
"alxn
","alxn
 Alexion Pharmaceuticals health care biotechnology SP500"
"algn
","algn
 Align Technology health care health care supplies SP500"
"alle
","alle
 Allegion industrials building products SP500"
"ads
","ads
 Alliance Data Systems information technology data processing & outsourced services SP500"
"lnt
","lnt
 Alliant Energy Corp utilities electric utilities SP500"
"all
","all
 Allstate Corp financials property & casualty insurance SP500"
"googl
","googl
 Alphabet Inc. (Class A) communication services interactive media & services SP500"
"goog
","goog
 Alphabet Inc. (Class C) communication services interactive media & services SP500"
"mo
","mo
 Altria Group Inc consumer staples tobacco SP500"
"amzn
","amzn
 Amazon.com Inc. consumer discretionary internet & direct marketing retail SP500"
"amcr
","amcr
 Amcor plc materials paper packaging SP500"
"aee
","aee
 Ameren Corp utilities multi-utilities SP500"
"aal
","aal
 American Airlines Group industrials airlines SP500"
"aep
","aep
 American Electric Power utilities electric utilities SP500"
"axp
","axp
 American Express Co financials consumer finance SP500"
"aig
","aig
 American International Group financials property & casualty insurance SP500"
"amt
","amt
 American Tower Corp. real estate specialized reits SP500"
"awk
","awk
 American Water Works Company Inc utilities water utilities SP500"
